year,sex,age,value
2022,both,40,445.8551
2022,both,41,439.2104
2022,both,42,437.0601
2022,both,43,419.0217
2022,both,44,409.4785
2022,both,45,404.1418
2022,both,46,390.2059
2022,both,47,394.2391
2022,both,48,386.5398
2022,both,49,391.5707
2022,both,50,410.3259
2022,both,51,434.5925
2022,both,52,427.5317
2022,both,53,411.2903
2022,both,54,402.2705
2022,both,55,403.4118
2022,both,56,409.1067
2022,both,57,424.6247
2022,both,58,434.4195
2022,both,59,434.2482
2022,both,60,435.3
2022,both,61,434.0009
2022,both,62,425.7245
2022,both,63,417.0981
2022,both,64,412.8688
2022,both,65,404.7188
2022,both,66,386.2354
2022,both,67,376.6096
2022,both,68,362.4895
2022,both,69,346.5628
2022,both,70,332.7116
2022,both,71,315.9661
2022,both,72,300.3225
2022,both,73,291.0429
2022,both,74,283.3248
2022,both,75,296.8184
2022,both,76,208.4065
2022,both,77,198.3209
2022,both,78,191.082
2022,both,79,190.8049
2022,both,80,161.1599
2022,both,81,142.4412
2022,both,82,128.2628
2022,both,83,116.908
2022,both,84,106.944
2022,both,85,93.133
2022,both,86,83.6902
2022,both,87,74.7466
2022,both,88,62.3651
2022,both,89,55.7023
2022,both,90,48.457
2022,both,91,41.5163
2022,both,92,34.9548
2022,both,93,27.9592
2022,both,94,22.7529
2022,both,95,17.7396
2022,both,96,13.2035
2022,both,97,9.9173
2022,both,98,7.0303
2022,both,99,4.8372
2022,both,100,7.8805
2023,both,40,450.5293627
2023,both,41,443.8150009
2023,both,42,441.6421576
2023,both,43,423.4146463
2023,both,44,413.7713971
2023,both,45,409.6742234
2023,both,46,395.5475505
2023,both,47,399.6359622
2023,both,48,391.8312641
2023,both,49,396.9310337
2023,both,50,404.3022997
2023,both,51,428.2126651
2023,both,52,421.2555179
2023,both,53,405.2525423
2023,both,54,396.9827366
2023,both,55,398.1090345
2023,both,56,403.7290762
2023,both,57,419.0430952
2023,both,58,428.7091446
2023,both,59,428.5400963
2023,both,60,434.4394354
2023,both,61,433.1429036
2023,both,62,424.8828656
2023,both,63,416.2735195
2023,both,64,412.0525806
2023,both,65,411.6870329
2023,both,66,392.8853955
2023,both,67,383.0938636
2023,both,68,368.7306512
2023,both,69,352.5297338
2023,both,70,341.0960182
2023,both,71,323.9285273
2023,both,72,307.8907045
2023,both,73,298.3772562
2023,both,74,290.4646581
2023,both,75,312.2039929
2023,both,76,219.2092587
2023,both,77,208.6008713
2023,both,78,200.9867426
2023,both,79,200.6952791
2023,both,80,169.1316485
2023,both,81,149.487031
2023,both,82,134.6072987
2023,both,83,122.6908354
2023,both,84,112.2339677
2023,both,85,95.69274242
2023,both,86,85.99040889
2023,both,87,76.80099578
2023,both,88,64.07919266
2023,both,89,57.2332669
2023,both,90,49.4761368
2023,both,91,42.38946154
2023,both,92,35.68996154
2023,both,93,28.54723165
2023,both,94,23.23143391
2023,both,95,18.6105519
2023,both,96,13.85174536
2023,both,97,10.40420451
2023,both,98,7.375462977
2023,both,99,5.074689489
2023,both,100,8.379504986
2024,both,40,455.2526295
2024,both,41,448.4678756
2024,both,42,446.2722526
2024,both,43,427.8536474
2024,both,44,418.1093002
